NDVI,NDBI,NDWI,AirTemp,Humidity,WindSpeed,Albedo,BuildingDensity
0.07697366,1.896484,0.247562,1.6467289,-0.0033659055,0.088253975,-1.0027719,-0.08291302
0.8467046,2.0426793,0.13620254,1.6896214,0.11525739,0.10708867,-0.92730576,-0.042609915
0.66163313,1.9169118,0.3368239,1.7879211,0.07361544,0.21994546,-1.2232697,-0.092787325
-0.0062939315,1.7270299,0.2622697,1.6752883,0.05562789,0.22309737,-1.2727276,-0.13650052
-0.089533545,1.7062976,0.14273858,1.6661698,0.052404813,0.2020801,-1.4094384,-0.13914357
-0.04246072,1.8765751,0.45232713,1.6321096,0.04916094,0.21617883,-1.1459345,-0.12689306
-0.08539597,1.5247363,0.32728288,1.673737,0.07554843,0.06625066,-0.87978154,-0.10029799
-0.043848883,1.8255463,0.29587033,1.6504856,0.036651894,0.085416555,-0.9321286,-0.082026616
0.007894326,1.7507546,0.28274524,1.6150943,0.060567204,0.0603786,-0.9707613,-0.10214591
0.38694635,2.0314772,0.33566505,1.5192279,0.095101215,0.22647546,-1.0712731,-0.090209976
0.74585754,2.2225153,0.3827369,1.7223537,0.07910604,0.22099636,-1.1070306,-0.084788196
0.023184672,1.9597049,0.44636762,1.6348232,0.012778076,0.21443829,-1.1534555,-0.13071881
-1.6623917,1.2947814,0.47647735,1.6513269,0.29799595,0.05000959,-1.1385893,-0.110440604
-1.5729988,1.3445367,0.6575025,1.721906,0.45447847,0.06304685,-1.0379577,-0.08686331
-0.04510729,1.6824608,0.33067414,1.6458216,0.060185086,0.20680913,-0.9871077,-0.10326409
0.021321692,1.8147079,0.29581606,1.6274265,0.06796682,0.2283045,-0.99791586,-0.107638255
0.36717424,1.8973479,0.37557265,1.5856198,0.08765767,0.24323821,-1.102804,-0.06537283
-0.022251971,1.8065097,0.47043633,1.6042458,0.039339073,0.21909669,-1.1045413,-0.12239162
-1.5073785,1.2321892,0.5094927,1.6050725,0.29857823,0.06696697,-0.75945944,0.030700743
-1.4943798,1.3805491,0.52521974,1.4299519,0.03198124,0.042589247,-1.0021145,0.037917282
-0.7229829,1.8372859,0.30444053,1.653607,0.16002998,0.19628277,-0.94995344,-0.14108461
-0.21997806,1.8266373,0.36197674,1.5781469,0.059578016,0.1848005,-0.8885583,-0.13021615
-0.084894076,1.6989201,0.34250444,1.653071,0.05368337,0.17769943,-0.96801215,-0.14128421
-1.2502264,-1.1898919,0.9965667,1.9200922,0.48748535,0.16941756,-0.60190773,0.13704255
-0.907906,1.3927794,0.4681623,1.7058285,0.16189522,0.05626842,-1.0263948,0.03558275
-1.545359,0.6362496,0.9303068,1.5470148,0.6339116,0.43969038,-0.43404338,0.014636573
-0.7890843,1.6272728,0.48093775,1.686291,0.17418814,0.23084341,-1.0147555,-0.113053694
-0.63920015,1.5882422,0.46167466,1.7117354,0.12940717,0.2186111,-1.0760748,-0.13645907
-1.242808,1.5637227,0.62667656,1.570122,0.035509616,0.20502764,-1.2215881,-0.15541251
-1.3125522,0.50031805,0.86019385,1.760866,0.61325073,0.12225231,-0.58617663,0.20433903
-1.3851283,1.4580387,0.7220812,1.7903996,0.34884995,0.095980294,-0.9181517,0.021477524
-0.45376304,1.9155115,0.7596514,1.8581119,0.11701308,0.081953175,-0.9518535,0.051765703
-0.74158686,0.6197578,0.90435916,1.5844616,0.62145066,0.48119894,-0.4494328,0.32238907
-0.4847005,1.7757643,0.41176745,1.6349547,0.21691692,0.38087374,-0.5922819,0.1797671
-0.062280964,1.6636604,0.35437992,1.635751,0.059029058,0.17572695,-0.96264863,-0.12721567
-0.4114785,1.7869891,0.5490369,1.8385137,0.108745605,0.0809522,-0.94326293,0.04358471
-0.6471829,0.36945826,0.83024895,1.7381464,0.36275613,0.14752583,-0.60020345,0.25545433
